Date,Close/Last,Volume,Open,High,Low
09/20/2024,$168.00,12187740,$167.13,$168.83,$166.60
09/19/2024,$167.59,10075880,$167.25,$168.16,$164.51
09/18/2024,$164.53,12274410,$167.62,$167.62,$163.73
09/17/2024,$167.47,12580110,$170.28,$170.64,$166.77
09/16/2024,$170.33,27384370,$164.99,$173.99,$164.51
09/13/2024,$162.03,25727810,$173.70,$173.935,$161.00
09/12/2024,$161.38,16352050,$159.04,$162.34,$157.90
09/11/2024,$157.18,12630120,$156.78,$159.44,$154.8401
09/10/2024,$155.89,37374210,$154.23,$160.52,$153.12
09/09/2024,$139.89,20233430,$142.49,$143.30,$139.51
09/06/2024,$141.81,11154800,$143.79,$143.94,$139.40
09/05/2024,$142.61,8733246,$141.40,$143.28,$140.305
09/04/2024,$140.75,6243325,$138.44,$141.1009,$137.95
09/03/2024,$139.50,6831174,$140.45,$142.20,$138.83
08/30/2024,$141.29,7980679,$140.33,$141.72,$140.095
08/29/2024,$139.42,4588361,$139.14,$141.16,$138.85
08/28/2024,$137.88,3022639,$138.83,$138.95,$136.91
08/27/2024,$138.48,3872342,$137.85,$139.50,$137.74
08/26/2024,$138.90,2729605,$139.39,$139.40,$138.19
08/23/2024,$139.19,4544571,$138.73,$139.79,$137.26
08/22/2024,$138.08,5162189,$140.70,$141.08,$137.65
08/21/2024,$140.20,3776768,$138.80,$140.30,$138.55
08/20/2024,$139.17,3738261,$137.82,$139.79,$137.82
08/19/2024,$137.92,3641585,$137.53,$137.95,$136.455
08/16/2024,$137.47,4893787,$136.79,$137.82,$136.39
08/15/2024,$136.93,4698128,$136.93,$137.25,$135.72
08/14/2024,$135.60,4044630,$134.04,$135.97,$134.01
08/13/2024,$134.26,4324038,$132.97,$134.54,$132.81
08/12/2024,$132.58,5600826,$132.25,$132.71,$131.21
08/09/2024,$132.06,5597278,$128.40,$132.37,$128.34
08/08/2024,$128.96,6243219,$128.00,$129.82,$127.65
08/07/2024,$125.90,8617652,$128.92,$130.30,$125.75
08/06/2024,$128.21,8373891,$130.54,$131.0375,$128.08
08/05/2024,$127.86,10354990,$127.89,$129.97,$126.6639
08/02/2024,$133.28,8251585,$132.77,$134.30,$131.80
08/01/2024,$137.51,5906808,$139.29,$140.39,$135.77
07/31/2024,$139.45,7188043,$139.69,$141.55,$138.66
07/30/2024,$135.67,6505701,$139.07,$139.565,$134.96
07/29/2024,$138.31,4054647,$139.27,$139.78,$137.825
07/26/2024,$139.01,5139377,$138.87,$139.96,$138.38
07/25/2024,$137.82,7654625,$140.15,$141.07,$137.70
07/24/2024,$138.77,8018807,$141.70,$142.66,$138.40
07/23/2024,$143.11,6697410,$141.30,$143.22,$141.21
07/22/2024,$140.17,5387176,$139.74,$140.68,$139.12
07/19/2024,$138.56,6111941,$138.35,$140.44,$138.08
07/18/2024,$138.03,5998726,$139.36,$140.06,$137.202
07/17/2024,$139.26,9157003,$140.48,$141.79,$138.6801
07/16/2024,$142.61,7181470,$143.07,$143.50,$142.05
07/15/2024,$143.07,8687837,$145.73,$146.59,$141.92
07/12/2024,$144.77,7361770,$142.71,$145.13,$141.26
07/11/2024,$142.76,5246402,$142.36,$143.48,$141.6784
07/10/2024,$142.07,6350258,$141.12,$142.38,$139.735
07/09/2024,$140.68,14340040,$145.13,$145.6999,$138.00
07/08/2024,$145.03,8622633,$144.76,$145.23,$143.43
07/05/2024,$144.83,5365527,$144.95,$145.785,$144.02
07/03/2024,$144.38,3560778,$143.75,$144.65,$143.50
07/02/2024,$143.28,5920529,$142.63,$144.22,$142.55
07/01/2024,$143.09,6552353,$141.69,$144.055,$141.07
06/28/2024,$141.20,25814820,$139.435,$142.82,$139.27
06/27/2024,$140.18,7518199,$139.25,$141.42,$138.81
06/26/2024,$138.23,8036309,$139.49,$140.745,$138.08
06/25/2024,$139.17,8469641,$139.00,$139.55,$137.56
06/24/2024,$139.89,7793293,$140.00,$141.53,$139.12
06/21/2024,$141.50,14930880,$143.72,$143.72,$140.44
06/20/2024,$142.91,8940005,$145.32,$145.32,$141.95
06/18/2024,$144.64,11629400,$141.22,$145.06,$141.22
06/17/2024,$141.31,11232750,$138.80,$141.44,$138.25
06/14/2024,$138.13,11330790,$139.26,$139.97,$137.38
06/13/2024,$139.85,13733250,$140.43,$142.40,$138.77
06/12/2024,$140.38,40871320,$134.69,$140.955,$133.96
06/11/2024,$123.88,18373940,$124.05,$124.83,$122.29
06/10/2024,$124.50,10190450,$125.73,$126.95,$124.05
06/07/2024,$125.92,11544960,$124.21,$126.22,$123.27
06/06/2024,$123.50,7347249,$122.88,$124.27,$122.25
06/05/2024,$122.63,5973706,$121.65,$122.79,$120.5077
06/04/2024,$120.07,7367975,$119.02,$120.37,$118.72
06/03/2024,$119.28,7256308,$117.53,$119.33,$117.34
05/31/2024,$117.19,12755640,$116.59,$117.4175,$114.55
05/30/2024,$117.09,10851550,$120.17,$121.44,$117.03
05/29/2024,$123.74,4735091,$122.99,$123.92,$122.77
05/28/2024,$124.49,6911394,$123.24,$124.82,$123.011
05/24/2024,$122.91,7173435,$123.42,$123.51,$121.42
05/23/2024,$124.09,6108584,$126.55,$126.70,$123.16
05/22/2024,$124.60,5705042,$124.63,$125.16,$123.295
05/21/2024,$124.63,5549456,$124.46,$125.36,$123.92
05/20/2024,$124.52,5989022,$123.80,$124.68,$123.24
05/17/2024,$123.50,6179367,$123.18,$123.58,$122.08
05/16/2024,$122.16,5159256,$121.94,$122.45,$121.21
